"DATE"	"CODBDI"	"CODNEG"	"TPMERC"	"NOMRES"	"MODREF"	"PREABE"	"PREULT"	"TOTNEG"	"QUATOT"	"VOLTOT"	"RET"
"2015-11-03"	"02"	"ABCB4"	"010"	"ABC BRASIL"	"R$"	8.49	8.8	1068	257000	2.243335e6	0.03651354534746767
"2015-11-04"	"02"	"ABCB4"	"010"	"AMBEV S/A"	"R$"	19.1	19.6	32307	13504000	2.61856419e8	0.02156640181611799
"2015-11-05"	"02"	"ABCB4"	"010"	"BRASILAGRO"	"R$"	10.7	10.9	77	21000	226828.0	0.015538290788013382
"2015-11-06"	"02"	"ABCB4"	"010"	"ALPARGATAS"	"R$"	9.58	9.71	14	11200	108100.0	-0.016375545851528422
"2015-11-09"	"02"	"ABCB4"	"010"	"ALPARGATAS"	"R$"	8.19	8.6	1394	718900	6.141464e6	0.006651884700665244
"2015-11-10"	"02"	"ABCB4"	"010"	"ALIANSCE"	"R$"	10.44	11.12	1360	378700	4.191205e6	-0.0022050716648290597
"2015-11-11"	"02"	"ABCB4"	"010"	"ALUPAR"	"R$"	15.7	15.35	1766	1195900	1.8348705e7	0.04070407040704081
"2015-11-12"	"02"	"ABCB4"	"010"	"LOJAS MARISA"	"R$"	6.52	6.7	51	20600	136972.0	-0.0010570824524314547
"2015-11-13"	"02"	"ABCB4"	"010"	"ANIMA"	"R$"	13.41	13.62	4261	826500	1.1304982e7	-0.020212765957446754
"2015-11-16"	"02"	"ABCB4"	"010"	"ARTERIS"	"R$"	9.37	9.37	2398	513500	4.802094e6	0.0032362459546926795
"2015-11-17"	"02"	"ABCB4"	"010"	"AREZZO CO"	"R$"	21.33	21.75	391	67000	1.433339e6	0.007462686567164019
"2015-11-18"	"02"	"ABCB4"	"010"	"AMAZONIA"	"R$"	0.25	0.25	2	2000	500.0	0.008447729672650481
"2015-11-19"	"02"	"ABCB4"	"010"	"BRASIL"	"R$"	16.27	17.38	29637	10820800	1.82542311e8	0.036649214659685826
"2015-11-23"	"02"	"ABCB4"	"010"	"BRADESCO"	"R$"	23.8	24.8	13359	2198500	5.3795608e7	-0.010101010101010065
"2015-11-24"	"02"	"ABCB4"	"010"	"BRADESCO"	"R$"	21.2	22.11	39403	16970800	3.68049866e8	0.0020554984583761125
"2015-11-25"	"02"	"ABCB4"	"010"	"BR BROKERS"	"R$"	1.51	1.48	1640	446600	663511.0	-0.03589743589743586
"2015-11-26"	"02"	"ABCB4"	"010"	"BBSEGURIDADE"	"R$"	26.84	28.21	30446	7355500	2.03399123e8	0.010537407797681732
"2015-11-27"	"02"	"ABCB4"	"010"	"BTG PACTUAL"	"R$"	28.75	28.95	2239	1361900	3.9460277e7	-0.020855057351407642
"2015-11-30"	"02"	"ABCB4"	"010"	"MINERVA"	"R$"	12.77	12.95	5376	965000	1.2397087e7	-0.042887029288702944
"2015-11-03"	"02"	"ABEV3"	"010"	"BANESTES"	"R$"	1.92	1.93	6	8300	15888.0	0.026178010471204185
"2015-11-04"	"02"	"ABEV3"	"010"	"BANCO PAN"	"R$"	1.5	1.5	24	6600	9827.0	-0.004570848146267134
"2015-11-05"	"02"	"ABEV3"	"010"	"BR PHARMA"	"R$"	0.52	0.4	1822	5773000	2.444184e6	-0.0015392508978962333
"2015-11-06"	"02"	"ABEV3"	"010"	"BRADESPAR"	"R$"	6.67	6.65	286	101400	677333.0	-0.020650490449148275
"2015-11-09"	"02"	"ABEV3"	"010"	"BRADESPAR"	"R$"	8.09	8.3	8262	2643100	2.1474565e7	-0.01423299947285185
